k,cov,reg,sil,bic
2,diag,1e-06,0.3936484754085541,51894.342682017705
2,diag,0.0001,0.3936484754085541,51894.342682017705
2,full,1e-06,0.39349430799484253,51902.4469690888
2,full,0.0001,0.39349430799484253,51902.4469690888
2,tied,1e-06,0.3934480547904968,51894.90362899729
2,tied,0.0001,0.3934480547904968,51894.90362899729
2,spherical,1e-06,0.3821125030517578,52382.68038865998
2,spherical,0.0001,0.3821125030517578,52382.68038865998
3,spherical,0.0001,0.35696732997894287,51921.49665170599
3,tied,0.0001,0.27072057127952576,51835.446168002374
